Sigla,Diciplina,Demanda
LEL04102,InglêsInstrumentalI,1
MAT01105,CálculoDiferencialeIntegralIII,1
MAT01106,MétodoMatemático,1
FIS01103,FísicaGeralII,2
FIS01109,LaboratóriodeFísicaGeralII,4
INF01204,SistemaOperacional,1
INF01201,AnáliseeProjetodeSistemas,4
MAT01107,ProcessosEstocásticos,3
INF01115,RedesdeComputadores,3
INF01116,BancodeDadosI,4
INF01117,LinguagensFormaiseTeoriadaComputação,4
LES04514,MetodologiadoTrabalhoCientíﬁco,4
INF01205,InteligênciaArtiﬁcial,4
INF01210,ParadigmaOOparaDesenvolvimentodeSoftware,4
LES04536,ComputaçãoeSociedade,2
PRO01540,Empreendedorismo,3
INF01220,FundamentosdeProcessamentodeImagens,4
INF01213,PadrõesdeSoftware,4
INF01134,ComputaçãoMóvel,4
INF01135,GerênciadeRedesdeComputadores,4
INF01216,EngenhariadeSoftwareApoiadaporComputador,4
INF01217,PlanejamentodeNegóciosemInformática,4
INF01118,Hipermídia/Multimídia,4
PRO01332,IntroduçãoàEconomia,4
PRO01333,SistemadeInformação,4
PAR45117,Libras,4
LEL04202,PortuguêsInstrumentalII,4
LEL04101,PortuguêsInstrumentalI,4
LEL04506,InglêsInstrumentalIII,4
LEL04507,InglêsInstrumentalIV,4
